vpID,scenID,choice,locPos,note,prozent,anzahl,photoID,sex,geschlecht,alter,internetnutzung,arztbesuche,
cari17,33,3,3,2.4,72,12,,m,m,46,2,1,
cari17,33,,4,1.5,82,15,32,m,m,46,2,1,
cari17,19,1,1,2.0,73,38,25,m,m,46,2,1,
cari17,19,,2,1.5,92,7,23,f,m,46,2,1,
cari17,19,,3,1.5,88,14,24,f,m,46,2,1,
cari17,19,,4,2.1,69,40,13,f,m,46,2,1,
cari17,16,,1,2.0,69,81,15,f,m,46,2,1,
cari17,16,,2,1.6,87,12,37,m,m,46,2,1,
cari17,16,3,3,1.7,81,11,33,m,m,46,2,1,
cari17,16,,4,2.0,76,70,28,m,m,46,2,1,
cari17,10,1,1,1.5,90,6,,m,m,46,2,1,
cari17,10,,2,1.7,87,6,,f,m,46,2,1,
cari17,10,,3,2.3,74,43,,m,m,46,2,1,
cari17,10,,4,1.9,75,48,,m,m,46,2,1,
cari17,26,,1,1.2,98,47,,f,m,46,2,1,
cari17,26,,2,1.2,97,11,36,m,m,46,2,1,
cari17,26,,3,1.3,98,5,17,f,m,46,2,1,
cari17,26,4,4,1.1,99,38,,f,m,46,2,1,
cari17,23,1,1,1.1,95,14,31,m,m,46,2,1,
cari17,23,,2,1.8,82,43,13,f,m,46,2,1,
cari17,23,,3,1.7,87,23,25,m,m,46,2,1,
cari17,23,,4,1.0,97,11,33,m,m,46,2,1,
cari17,36,1,1,1.4,80,23,27,m,m,46,2,1,
cari17,36,,2,1.6,94,32,29,m,m,46,2,1,
cari17,36,,3,1.9,70,31,,f,m,46,2,1,
cari17,36,,4,2.0,75,30,,f,m,46,2,1,
cari17,35,,1,1.5,80,15,,f,m,46,2,1,
cari17,35,2,2,1.2,98,5,24,f,m,46,2,1,
cari17,35,,3,1.8,81,13,,f,m,46,2,1,
cari17,35,,4,1.1,100,12,19,f,m,46,2,1,
cari17,17,,1,2.4,79,111,30,m,m,46,2,1,
cari17,17,,2,1.1,97,23,23,f,m,46,2,1,
cari17,17,3,3,2.2,78,92,25,m,m,46,2,1,
cari17,17,,4,1.2,98,42,37,m,m,46,2,1,
cari17,11,1,1,1.9,78,39,,f,m,46,2,1,
cari17,11,,2,1.3,97,11,,f,m,46,2,1,
cari17,11,,3,1.3,95,13,,m,m,46,2,1,
cari17,11,,4,1.9,72,38,,m,m,46,2,1,
cari17,14,1,1,1.0,100,10,,f,m,46,2,1,
cari17,14,,2,1.8,81,44,,m,m,46,2,1,
cari17,14,,3,1.0,98,11,,m,m,46,2,1,
cari17,14,,4,1.8,86,32,,m,m,46,2,1,
Cheo31,34,1,1,1.1,97,10,17,f,f,21,26,4,
Cheo31,34,,2,1.0,96,7,18,f,f,21,26,4,
Cheo31,34,,3,1.9,78,10,,f,f,21,26,4,
Cheo31,34,,4,2.4,78,11,,m,f,21,26,4,
Cheo31,11,,1,1.0,99,9,,m,f,21,26,4,
Cheo31,11,,2,2.2,74,35,,f,f,21,26,4,
Cheo31,11,3,3,1.9,66,23,,m,f,21,26,4,
Cheo31,11,,4,1.0,98,11,,f,f,21,26,4,
Cheo31,26,,1,1.0,98,37,,m,f,21,26,4,
Cheo31,26,,2,1.2,96,34,,m,f,21,26,4,
Cheo31,26,3,3,1.0,95,10,37,m,f,21,26,4,
Cheo31,26,,4,1.3,97,5,25,m,f,21,26,4,
Cheo31,12,,1,1.0,98,39,,m,f,21,26,4,
Cheo31,12,,2,1.0,100,42,,m,f,21,26,4,
Cheo31,12,3,3,1.5,84,105,,f,f,21,26,4,
