vpID;scenID;choice;locPos;note;prozent;anzahl;photoID;sex;
Agng05;12;;2;1.2;100;44;;f;
Agng05;12;;3;1.0;100;26;;m;
Agng05;12;;4;1.8;91;88;;m;
Agng05;28;1;1;1.6;83;10;34;m;
Agng05;28;;2;1.4;84;114;;m;
Agng05;28;;3;1.7;84;88;;f;
Agng05;28;;4;1.8;87;5;14;f;
Agng05;24;;1;1.3;97;111;;m;
Agng05;24;;2;1.3;97;44;37;m;
Agng05;24;;3;1.1;95;105;;f;
Agng05;24;4;4;1.0;100;38;25;m;
Agng05;25;;1;1.1;98;6;33;m;
Agng05;25;;2;1.2;96;97;;f;
Agng05;25;3;3;1.3;100;13;28;m;
Agng05;25;;4;1.2;96;101;;f;
Agng05;38;;1;1.6;93;49;;f;
Agng05;38;;2;1.5;81;25;;m;
Agng05;38;3;3;1.2;95;50;25;m;
Agng05;38;;4;1.0;98;40;39;m;
Agng05;21;1;1;1.0;97;42;27;m;
Agng05;21;;2;1.8;88;102;19;f;
Agng05;21;;3;1.1;96;50;20;f;
Agng05;21;;4;1.6;80;115;39;m;
ando29;33;1;1;1.4;85;7;22;f;
ando29;33;;2;1.5;85;6;37;m;
ando29;33;;3;1.9;76;13;;m;
ando29;33;;4;2.2;74;10;;m;
ando29;12;;1;1.3;95;20;;m;
ando29;12;;2;1.4;92;109;;m;
ando29;12;;3;1.5;84;98;;f;
ando29;12;4;4;1.1;95;22;;f;
ando29;22;;1;1.0;97;11;20;f;
ando29;22;2;2;1.0;100;11;19;f;
ando29;22;;3;1.8;81;108;30;m;
ando29;22;;4;1.6;90;85;16;f;
ando29;19;1;1;1.5;92;9;17;f;
ando29;19;;2;1.7;85;15;40;m;
ando29;19;;3;2.3;77;22;18;f;
ando29;19;;4;2.3;66;32;33;m;
ando29;8;;1;1.2;97;21;;f;
ando29;8;;2;1.9;69;88;;m;
ando29;8;3;3;1.1;96;24;;m;
ando29;8;;4;2.1;72;90;;f;
ando29;21;1;1;1.1;97;44;21;f;
ando29;21;;2;1.5;88;75;16;f;
ando29;21;;3;1.2;97;30;29;m;
ando29;21;;4;1.8;83;111;15;f;
ando29;10;1;1;1.4;89;6;;m;
ando29;10;;2;2.0;78;31;;f;
ando29;10;;3;1.9;77;47;;f;
ando29;10;;4;1.4;84;12;;m;
ando29;25;;1;1.3;98;14;31;m;
ando29;25;2;2;1.2;98;86;;m;
ando29;25;;3;1.3;99;117;;m;
ando29;25;;4;1.1;99;12;16;f;
ando29;16;;1;1.4;85;11;26;m;
ando29;16;;2;2.4;72;100;30;m;
ando29;16;;3;2.4;73;114;23;f;
ando29;16;4;4;1.4;89;12;20;f;
ando29;27;;1;1.5;81;98;;m;
ando29;27;;2;1.5;86;28;18;f;
ando29;27;3;3;1.4;94;115;;f;
ando29;27;;4;1.6;88;48;12;f;
ando29;17;1;1;1.0;96;45;14;f;
ando29;17;;2;2.1;74;118;24;f;
ando29;17;;3;2.3;75;113;22;f;
ando29;17;;4;1.2;100;33;27;m;
ando29;26;1;1;1.0;99;42;;m;
ando29;26;;2;1.1;96;9;16;f;
ando29;26;;3;1.0;96;15;13;f;
ando29;26;;4;1.2;99;39;;m;
ando29;38;;1;1.0;98;33;23;f;
ando29;38;;2;1.4;89;33;;m;
ando29;38;3;3;1.0;98;42;41;m;
ando29;38;;4;1.6;90;42;;m;
ando29;28;1;1;1.6;91;79;;f;
ando29;28;;2;1.8;89;9;20;f;
ando29;28;;3;1.7;83;6;17;f;
ando29;28;;4;1.7;84;84;;m;
ando29;34;1;1;1.0;100;12;23;f;
ando29;34;;2;2.3;77;7;;f;
ando29;34;;3;1.3;99;14;12;f;
ando29;34;;4;2.4;71;10;;m;
ando29;29;1;1;1.4;89;31;;f;
ando29;29;;2;1.4;88;14;25;m;
ando29;29;;3;1.5;82;37;;m;
ando29;29;;4;1.5;87;14;20;f;
ando29;39;;1;2.3;79;71;;m;
ando29;39;;2;1.5;87;72;26;m;
ando29;39;3;3;1.6;92;103;18;f;
ando29;39;;4;2.4;73;115;;m;
ando29;24;1;1;1.1;98;77;;f;
ando29;24;;2;1.2;96;96;;m;
ando29;24;;3;1.0;99;28;13;f;
ando29;24;;4;1.3;96;41;36;m;
ando29;18;;1;2.1;67;90;39;m;
ando29;18;2;2;1.2;100;9;19;f;
ando29;18;;3;1.1;95;10;30;m;
ando29;18;;4;2.4;73;102;26;m;
ando29;41;;1;1.7;80;85;;m;
ando29;41;;2;1.8;81;103;;m;
ando29;41;;3;1.0;96;81;41;m;
ando29;41;4;4;1.0;98;113;15;f;
ando29;37;;1;1.2;97;49;17;f;
ando29;37;;2;2.0;73;43;;f;
ando29;37;3;3;1.3;99;45;19;f;
ando29;37;;4;2.0;79;35;;f;
ando29;30;1;1;2.1;76;42;17;f;
ando29;30;;2;2.0;75;24;30;m;
ando29;30;;3;2.3;68;78;;f;
ando29;30;;4;2.1;68;85;;f;
ando29;15;1;1;1.4;82;38;29;m;
ando29;15;;2;1.9;72;74;32;m;
ando29;15;;3;1.8;85;46;40;m;
ando29;15;;4;2.0;77;88;17;f;
ando29;35;1;1;1.2;96;12;15;f;
ando29;35;;2;1.8;93;5;;f;
ando29;35;;3;1.3;97;5;19;f;
ando29;35;;4;1.6;82;7;;f;
ando29;20;;1;2.4;69;44;32;m;
