"","merkmal","stufen","utility","zentriert","range","relative_wichtigkeit","exp.koeff"
"1.0-1.3","note","note1",2.55284110504594,1.19211476185202,"2.55284110504594","0.553972469157921",12.8435418475185
"1.4-1.8","","note2",1.52933792453582,0.168611581341901,"","",4.61512025268801
"1.9-2.4","","note3",0,-1.36072634319392,"","",1
"5-15","anzahl","anzahl1",-1.49243740751074,-0.820454901257232,"1.49243740751074","0.323862395535776",0.224823999456967
"20-50","","anzahl2",-0.523510111249793,0.14847239500372,"","",0.592437372933476
"60-120","","anzahl3",0,0.671982506253512,"","",1
"Photo","photo","photo",0.562966927738288,0.281483463869144,"0.562966927738288","0.122165135306303",1.75587433201146
"kein Photo","","kein photo",0,-0.281483463869144,"","",1
