vpID,scenID,choice,locPos,note,prozent,anzahl,photoID,sex,
adwe19,31,,2,2.1,68,78,,m,
adwe19,31,,3,2.4,72,6,41,m,
adwe19,31,,4,2.2,67,12,24,f,
adwe19,32,,1,2.0,79,6,22,f,
adwe19,32,,2,2.4,69,25,,f,
adwe19,32,3,3,2.0,78,41,,m,
adwe19,32,,4,1.9,68,24,,f,
adwe19,27,,1,1.4,86,45,38,m,
adwe19,27,,2,1.7,89,49,20,f,
adwe19,27,,3,1.8,86,119,,f,
adwe19,27,4,4,1.8,94,97,,f,
adwe19,15,,1,2.3,73,119,35,m,
adwe19,15,2,2,1.7,84,35,11,f,
adwe19,15,,3,1.6,89,20,34,m,
adwe19,15,,4,2.4,74,107,31,m,
adwe19,22,,1,1.1,96,6,30,m,
adwe19,22,,2,1.3,98,15,23,f,
adwe19,22,3,3,1.5,89,82,41,m,
adwe19,22,,4,1.4,84,117,29,m,
adwe19,39,,1,2.0,71,101,,f,
adwe19,39,2,2,1.4,85,109,34,m,
adwe19,39,,3,1.8,92,120,12,f,
adwe19,39,,4,2.3,74,70,,f,
Asns06,31,,1,2.0,75,109,,f,
Asns06,31,,2,2.1,79,10,37,m,
Asns06,31,3,3,2.4,71,6,16,f,
Asns06,31,,4,2.2,76,120,,f,
Asns06,39,,1,1.8,90,101,39,m,
Asns06,39,,2,2.1,73,113,,m,
Asns06,39,3,3,1.4,81,71,18,f,
Asns06,39,,4,2.1,73,73,,m,
Asns06,36,,1,1.9,71,34,,m,
Asns06,36,,2,2.4,79,33,,m,
Asns06,36,3,3,1.4,84,33,24,f,
Asns06,36,,4,1.5,93,20,28,m,
Asns06,12,,1,1.6,91,118,,f,
Asns06,12,2,2,1.0,98,24,,m,
Asns06,12,,3,1.6,81,88,,m,
Asns06,12,,4,1.2,97,41,,m,
Asns06,25,,1,1.2,99,14,33,m,
Asns06,25,,2,1.1,99,7,25,m,
Asns06,25,3,3,1.0,100,74,,f,
Asns06,25,,4,1.1,95,77,,f,
Asns06,40,,1,1.2,95,72,12,f,
Asns06,40,2,2,1.3,99,86,19,f,
Asns06,40,,3,2.3,72,117,,f,
Asns06,40,,4,2.0,78,117,,m,
Asns06,17,,1,1.3,96,22,12,f,
Asns06,17,,2,2.4,73,96,15,f,
Asns06,17,3,3,1.1,97,30,18,f,
Asns06,17,,4,2.0,69,107,26,m,
Asns06,6,,1,1.7,91,44,,m,
Asns06,6,,2,1.9,69,116,,f,
Asns06,6,,3,1.9,75,106,,f,
Asns06,6,4,4,1.5,90,47,,m,
Asns06,30,1,1,2.0,75,103,,f,
Asns06,30,,2,2.0,68,82,,m,
Asns06,30,,3,2.3,71,48,25,m,
Asns06,30,,4,2.2,67,46,29,m,
Asns06,23,,1,1.4,90,36,20,f,
Asns06,23,,2,1.1,96,13,21,f,
Asns06,23,3,3,1.0,100,13,27,m,
Asns06,23,,4,1.4,80,33,36,m,
Asns06,16,,1,2.2,78,96,28,m,
Asns06,16,,2,1.5,91,9,31,m,
Asns06,16,3,3,1.9,74,100,15,f,
Asns06,16,,4,1.4,93,8,25,m,
Asns06,10,,1,2.2,67,36,,f,
Asns06,10,,2,1.4,82,5,,m,
Asns06,10,3,3,1.5,92,10,,m,
Asns06,10,,4,2.0,73,22,,m,
Asns06,11,,1,1.3,97,12,,m,
Asns06,11,2,2,1.9,71,20,,f,
Asns06,11,,3,1.3,96,12,,f,
Asns06,11,,4,2.2,73,38,,m,
Asns06,13,,1,1.3,95,15,,m,
Asns06,13,2,2,1.6,88,115,,f,
Asns06,13,,3,1.0,95,15,,f,
Asns06,13,,4,1.7,92,79,,m,
Asns06,9,,1,2.4,74,92,,m,
Asns06,9,2,2,2.2,77,106,,m,
Asns06,9,,3,1.2,95,13,,f,
Asns06,9,,4,1.3,99,14,,m,
